    um         	nN
1.006188e-001	-6.063931e+000
1.024223e-001	-6.035604e+000
1.017669e-001	-6.060236e+000
1.034561e-001	-6.034372e+000
1.036870e-001	-6.039914e+000
1.038894e-001	-6.046073e+000
1.042633e-001	-6.048536e+000
1.047516e-001	-6.048536e+000
1.044964e-001	-6.064547e+000
1.054708e-001	-6.054078e+000
1.064738e-001	-6.042994e+000
1.070764e-001	-6.040530e+000
1.060207e-001	-6.073784e+000
1.074240e-001	-6.054078e+000
1.084555e-001	-6.042378e+000
1.092869e-001	-6.034988e+000
1.110333e-001	-6.007892e+000
1.112642e-001	-6.013434e+000
1.140399e-001	-5.964169e+000
1.136132e-001	-5.983875e+000
1.174755e-001	-5.911209e+000
1.196793e-001	-5.874260e+000
1.193384e-001	-5.892119e+000
1.203700e-001	-5.880418e+000
1.210298e-001	-5.876724e+000
1.206603e-001	-5.895198e+000
1.220064e-001	-5.876724e+000
1.224089e-001	-5.878571e+000
1.236120e-001	-5.863175e+000
1.223275e-001	-5.901356e+000
1.234163e-001	-5.888424e+000
1.223319e-001	-5.922294e+000
1.247359e-001	-5.881034e+000
1.249383e-001	-5.887192e+000
1.241685e-001	-5.914288e+000
1.265439e-001	-5.873644e+000
1.249735e-001	-5.917983e+000
1.272632e-001	-5.879186e+000
1.253782e-001	-5.930299e+000
1.274391e-001	-5.896430e+000
1.268123e-001	-5.920446e+000
1.293593e-001	-5.876108e+000
1.273885e-001	-5.929068e+000
1.286488e-001	-5.912441e+000
1.292229e-001	-5.910593e+000
1.295682e-001	-5.913672e+000
1.298850e-001	-5.917367e+000
1.307735e-001	-5.908746e+000
1.296606e-001	-5.943231e+000
1.308923e-001	-5.927220e+000
1.297508e-001	-5.962322e+000
1.326695e-001	-5.909977e+000
1.310419e-001	-5.955548e+000
1.330742e-001	-5.922294e+000
1.327905e-001	-5.938921e+000
1.327641e-001	-5.950005e+000
1.333668e-001	-5.947542e+000
1.332832e-001	-5.959858e+000
1.355728e-001	-5.921062e+000
1.341454e-001	-5.962322e+000
1.370355e-001	-5.910593e+000
1.357224e-001	-5.949389e+000
1.381264e-001	-5.908130e+000
1.391294e-001	-5.897046e+000
1.435921e-001	-5.811447e+000
1.420503e-001	-5.855170e+000
1.455408e-001	-5.790509e+000
1.418831e-001	-5.879802e+000
1.456024e-001	-5.810215e+000
1.431170e-001	-5.874260e+000
1.471222e-001	-5.798515e+000
1.454946e-001	-5.844085e+000
1.488708e-001	-5.781888e+000
1.463282e-001	-5.847164e+000
1.473026e-001	-5.836696e+000
1.467330e-001	-5.859480e+000
1.494801e-001	-5.810831e+000
1.484815e-001	-5.842854e+000
1.505996e-001	-5.807752e+000
1.485717e-001	-5.861944e+000
1.508328e-001	-5.823763e+000
1.498056e-001	-5.856402e+000
1.515806e-001	-5.828690e+000
1.504391e-001	-5.863791e+000
1.509560e-001	-5.863175e+000
1.514728e-001	-5.862560e+000
1.527331e-001	-5.845933e+000
1.529641e-001	-5.851475e+000
1.535953e-001	-5.848396e+000
1.537977e-001	-5.854554e+000
1.544861e-001	-5.850243e+000
1.533732e-001	-5.884729e+000
1.547479e-001	-5.865639e+000
1.543498e-001	-5.884729e+000
1.552098e-001	-5.876724e+000
1.560984e-001	-5.868102e+000
1.559290e-001	-5.882266e+000
1.584188e-001	-5.839158e+000
1.571343e-001	-5.877339e+000
1.589093e-001	-5.849627e+000
1.577964e-001	-5.884113e+000
1.599430e-001	-5.848396e+000
1.583726e-001	-5.892735e+000
1.604335e-001	-5.858865e+000
1.579767e-001	-5.922294e+000
1.601520e-001	-5.885961e+000
1.601542e-001	-5.896430e+000
1.623295e-001	-5.860096e+000
1.614167e-001	-5.890271e+000
1.628486e-001	-5.869949e+000
1.621359e-001	-5.895814e+000
1.625385e-001	-5.897661e+000
1.632269e-001	-5.893350e+000
1.635722e-001	-5.896430e+000
1.648039e-001	-5.880418e+000
1.641771e-001	-5.904435e+000
1.656375e-001	-5.883497e+000
1.648391e-001	-5.911209e+000
1.668142e-001	-5.879186e+000
1.667592e-001	-5.890887e+000
1.663612e-001	-5.909977e+000
1.663634e-001	-5.920446e+000
1.680811e-001	-5.893966e+000
1.686838e-001	-5.891503e+000
1.676567e-001	-5.924141e+000
1.696604e-001	-5.891503e+000
1.689763e-001	-5.916752e+000
1.710658e-001	-5.882266e+000
1.706392e-001	-5.901972e+000
1.714420e-001	-5.895198e+000
1.708151e-001	-5.919214e+000
1.720182e-001	-5.903819e+000
1.718489e-001	-5.917983e+000
1.724801e-001	-5.914904e+000
1.718247e-001	-5.939536e+000
1.744860e-001	-5.892735e+000
1.735161e-001	-5.924141e+000
1.747478e-001	-5.908130e+000
1.734919e-001	-5.945695e+000
1.755242e-001	-5.912441e+000
1.744685e-001	-5.945695e+000
1.753571e-001	-5.937073e+000
1.759597e-001	-5.934610e+000
1.766767e-001	-5.929683e+000
