    um         	pN
4.394142e-002	-4.491920e+002
4.298089e-002	-4.549661e+002
4.421389e-002	-4.519981e+002
4.319920e-002	-4.579881e+002
4.375519e-002	-4.577183e+002
4.339044e-002	-4.611179e+002
4.393288e-002	-4.609021e+002
4.377123e-002	-4.634924e+002
4.367729e-002	-4.658128e+002
4.377291e-002	-4.673777e+002
4.363833e-002	-4.698600e+002
4.437034e-002	-4.688887e+002
4.372124e-002	-4.734216e+002
4.430431e-002	-4.730439e+002
4.393955e-002	-4.764436e+002
4.467157e-002	-4.754722e+002
4.418495e-002	-4.793576e+002
4.482218e-002	-4.787640e+002
4.418661e-002	-4.832430e+002
4.498633e-002	-4.820018e+002
4.474344e-002	-4.849158e+002
4.521819e-002	-4.849698e+002
4.456908e-002	-4.895028e+002
4.546358e-002	-4.878838e+002
4.465200e-002	-4.930643e+002
4.570898e-002	-4.907978e+002
4.447763e-002	-4.976513e+002
4.554817e-002	-4.953308e+002
4.521048e-002	-4.986226e+002
4.526548e-002	-5.003494e+002
4.557775e-002	-5.010509e+002
4.528069e-002	-5.041808e+002
4.571481e-002	-5.043967e+002
4.581043e-002	-5.059616e+002
4.574356e-002	-5.081741e+002
4.586626e-002	-5.096311e+002
4.566400e-002	-5.123832e+002
4.624706e-002	-5.120055e+002
4.624789e-002	-5.139482e+002
4.637059e-002	-5.154052e+002
4.669640e-002	-5.160528e+002
4.638580e-002	-5.192366e+002
4.684700e-002	-5.193446e+002
4.673952e-002	-5.217189e+002
4.687575e-002	-5.231220e+002
4.697136e-002	-5.246870e+002
4.714823e-002	-5.259281e+002
4.744695e-002	-5.266836e+002
4.742069e-002	-5.287342e+002
4.723196e-002	-5.314324e+002
4.735466e-002	-5.328894e+002
4.723364e-002	-5.353177e+002
4.800627e-002	-5.341845e+002
4.731655e-002	-5.388793e+002
4.780484e-002	-5.388793e+002
4.799523e-002	-5.400665e+002
4.819918e-002	-5.411998e+002
4.836249e-002	-5.424949e+002
4.817376e-002	-5.451931e+002
4.855372e-002	-5.456248e+002
4.841916e-002	-5.481071e+002
4.866371e-002	-5.490784e+002
4.893535e-002	-5.499419e+002
4.870600e-002	-5.528019e+002
4.896410e-002	-5.537193e+002
4.889723e-002	-5.559318e+002
4.914180e-002	-5.569031e+002
4.921033e-002	-5.585760e+002
4.900806e-002	-5.613282e+002
4.952343e-002	-5.612202e+002
4.952426e-002	-5.631629e+002
4.960635e-002	-5.647818e+002
4.989153e-002	-5.655912e+002
4.947261e-002	-5.692068e+002
5.004213e-002	-5.688831e+002
4.982632e-002	-5.716891e+002
4.961051e-002	-5.744952e+002
4.980091e-002	-5.756824e+002
5.011318e-002	-5.763839e+002
5.014109e-002	-5.782187e+002
5.050751e-002	-5.787044e+002
5.018337e-002	-5.819422e+002
5.087476e-002	-5.811328e+002
5.053709e-002	-5.844245e+002
5.137742e-002	-5.830215e+002
5.070125e-002	-5.876623e+002
5.128432e-002	-5.872846e+002
5.100080e-002	-5.903605e+002
5.171927e-002	-5.894431e+002
5.134098e-002	-5.928968e+002
5.203237e-002	-5.920873e+002
5.157284e-002	-5.958647e+002
5.230484e-002	-5.948934e+002
5.222444e-002	-5.971599e+002
5.232005e-002	-5.987248e+002
5.286250e-002	-5.985090e+002
5.215923e-002	-6.032578e+002
5.344639e-002	-6.000739e+002
5.258065e-002	-6.054703e+002
5.321789e-002	-6.048766e+002
5.311039e-002	-6.072511e+002
5.316540e-002	-6.089779e+002
5.332871e-002	-6.102730e+002
5.335663e-002	-6.121078e+002
5.333037e-002	-6.141584e+002
5.394052e-002	-6.136727e+002
5.362993e-002	-6.168566e+002
5.445672e-002	-6.155075e+002
5.388887e-002	-6.197166e+002
5.466149e-002	-6.185834e+002
5.451339e-002	-6.211197e+002
5.543496e-002	-6.193929e+002
5.516500e-002	-6.224148e+002
5.577514e-002	-6.219291e+002
5.557287e-002	-6.246813e+002
5.634550e-002	-6.235480e+002
5.585889e-002	-6.274334e+002
5.684816e-002	-6.254368e+002
5.636154e-002	-6.293221e+002
5.731019e-002	-6.274874e+002
5.683712e-002	-6.313188e+002
5.777224e-002	-6.295380e+002
5.704189e-002	-6.343947e+002
5.808533e-002	-6.321822e+002
5.780182e-002	-6.352581e+002
5.819532e-002	-6.356359e+002
5.799305e-002	-6.383880e+002
5.852197e-002	-6.382261e+002
5.846864e-002	-6.403846e+002
5.892984e-002	-6.404925e+002
5.913378e-002	-6.416258e+002
5.939188e-002	-6.425432e+002
5.990724e-002	-6.424353e+002
5.986746e-002	-6.445398e+002
5.989538e-002	-6.463746e+002
6.035657e-002	-6.464825e+002
6.047927e-002	-6.479395e+002
6.066966e-002	-6.491268e+002
6.064342e-002	-6.511773e+002
6.121296e-002	-6.508535e+002
6.120024e-002	-6.528502e+002
6.122816e-002	-6.546850e+002
6.166229e-002	-6.549008e+002
6.167667e-002	-6.567895e+002
6.217849e-002	-6.567356e+002
6.212516e-002	-6.588941e+002
6.226140e-002	-6.602972e+002
6.242471e-002	-6.615923e+002
6.383374e-002	-6.579228e+002
6.509382e-002	-6.548468e+002
6.574459e-002	-6.541993e+002
6.672033e-002	-6.522566e+002
6.796686e-002	-6.492347e+002
6.764273e-002	-6.524725e+002
6.898406e-002	-6.490727e+002
6.893073e-002	-6.512313e+002
7.039391e-002	-6.473460e+002
7.108530e-002	-6.465365e+002
7.176315e-002	-6.457810e+002
7.245455e-002	-6.449715e+002
7.395835e-002	-6.409243e+002
7.441955e-002	-6.410322e+002
7.553069e-002	-6.385499e+002
7.563985e-002	-6.400608e+002
7.683223e-002	-6.372547e+002
7.757778e-002	-6.362295e+002
7.863476e-002	-6.339630e+002
7.873038e-002	-6.355279e+002
8.015294e-002	-6.318044e+002
8.119638e-002	-6.295919e+002
