    um         	pN
1.534550e+000	-4.419070e+002
1.533872e+000	-4.426624e+002
1.533804e+000	-4.409896e+002
1.533600e+000	-4.398563e+002
1.532570e+000	-4.420149e+002
1.532298e+000	-4.411515e+002
1.532013e+000	-4.403420e+002
1.531944e+000	-4.386692e+002
1.531673e+000	-4.378057e+002
1.530954e+000	-4.387231e+002
1.530141e+000	-4.400182e+002
1.529721e+000	-4.397484e+002
1.529192e+000	-4.399103e+002
1.528446e+000	-4.409356e+002
1.527443e+000	-4.429862e+002
1.527023e+000	-4.427164e+002
1.527320e+000	-4.395865e+002
1.527549e+000	-4.367265e+002
1.527305e+000	-4.357551e+002
1.527101e+000	-4.346219e+002
1.527384e+000	-4.315460e+002
1.526584e+000	-4.327871e+002
1.525094e+000	-4.367804e+002
1.523685e+000	-4.404499e+002
1.523007e+000	-4.412054e+002
1.522208e+000	-4.424466e+002
1.521570e+000	-4.430402e+002
1.520987e+000	-4.434179e+002
1.520567e+000	-4.431481e+002
1.520769e+000	-4.403960e+002
1.521080e+000	-4.372121e+002
1.520794e+000	-4.364027e+002
1.520374e+000	-4.361329e+002
1.520305e+000	-4.344600e+002
1.519763e+000	-4.346759e+002
1.518733e+000	-4.368344e+002
1.517581e+000	-4.394786e+002
1.517161e+000	-4.392088e+002
1.516618e+000	-4.394246e+002
1.516739e+000	-4.369963e+002
1.516684e+000	-4.352695e+002
1.516886e+000	-4.325173e+002
1.516466e+000	-4.322475e+002
1.515639e+000	-4.335966e+002
1.515042e+000	-4.340283e+002
1.514500e+000	-4.342441e+002
1.513335e+000	-4.369423e+002
1.512427e+000	-4.386152e+002
1.511640e+000	-4.398024e+002
1.511003e+000	-4.403960e+002
1.510799e+000	-4.392627e+002
1.510189e+000	-4.397484e+002
1.510405e+000	-4.369423e+002
1.510553e+000	-4.344060e+002
1.509659e+000	-4.360249e+002
1.508547e+000	-4.385073e+002
1.508018e+000	-4.386692e+002
1.507435e+000	-4.390469e+002
1.506568e+000	-4.405579e+002
1.505552e+000	-4.426624e+002
1.505280e+000	-4.417990e+002
1.505090e+000	-4.406118e+002
1.505102e+000	-4.386152e+002
1.504966e+000	-4.372121e+002
1.504640e+000	-4.365646e+002
1.503719e+000	-4.382914e+002
1.502662e+000	-4.405579e+002
1.502377e+000	-4.397484e+002
1.502525e+000	-4.372121e+002
1.502036e+000	-4.372121e+002
1.501128e+000	-4.388850e+002
1.500437e+000	-4.396944e+002
1.500057e+000	-4.392627e+002
1.500232e+000	-4.366185e+002
1.499663e+000	-4.369423e+002
1.499635e+000	-4.351076e+002
1.499512e+000	-4.336505e+002
1.498685e+000	-4.349996e+002
1.497696e+000	-4.369963e+002
1.496937e+000	-4.380755e+002
1.495853e+000	-4.404499e+002
1.495012e+000	-4.418530e+002
1.494673e+000	-4.412594e+002
1.494550e+000	-4.398024e+002
1.494333e+000	-4.387231e+002
1.494156e+000	-4.374819e+002
1.493614e+000	-4.376978e+002
1.492882e+000	-4.386692e+002
1.492935e+000	-4.365106e+002
1.493070e+000	-4.340283e+002
1.492771e+000	-4.332728e+002
1.492310e+000	-4.331649e+002
1.491293e+000	-4.352695e+002
1.489952e+000	-4.386692e+002
1.488963e+000	-4.406658e+002
1.488718e+000	-4.396944e+002
1.488758e+000	-4.375899e+002
1.488216e+000	-4.378057e+002
1.487700e+000	-4.379136e+002
1.487266e+000	-4.376978e+002
1.487522e+000	-4.347298e+002
1.487603e+000	-4.324633e+002
1.486749e+000	-4.339204e+002
1.485976e+000	-4.350536e+002
1.485190e+000	-4.362408e+002
1.483998e+000	-4.390469e+002
1.483591e+000	-4.387231e+002
1.483184e+000	-4.383993e+002
1.482249e+000	-4.401801e+002
1.481625e+000	-4.407198e+002
1.481245e+000	-4.402881e+002
1.481136e+000	-4.387771e+002
1.481135e+000	-4.368344e+002
1.481473e+000	-4.335426e+002
1.480835e+000	-4.341362e+002
1.479778e+000	-4.364027e+002
1.479331e+000	-4.362408e+002
1.478924e+000	-4.359170e+002
1.477352e+000	-4.402341e+002
1.476580e+000	-4.413673e+002
1.476145e+000	-4.411515e+002
1.475847e+000	-4.403960e+002
1.475751e+000	-4.388310e+002
1.475452e+000	-4.380755e+002
1.475167e+000	-4.372661e+002
1.474936e+000	-4.362408e+002
1.474773e+000	-4.349457e+002
1.473987e+000	-4.361329e+002
1.473444e+000	-4.363487e+002
1.472685e+000	-4.374280e+002
1.471709e+000	-4.393707e+002
1.471181e+000	-4.395325e+002
1.471193e+000	-4.375359e+002
1.471057e+000	-4.361329e+002
1.470894e+000	-4.348377e+002
1.470514e+000	-4.344060e+002
1.470553e+000	-4.323014e+002
1.469456e+000	-4.347298e+002
1.468291e+000	-4.374280e+002
1.467545e+000	-4.384533e+002
1.466813e+000	-4.394246e+002
1.466474e+000	-4.388310e+002
1.466392e+000	-4.372121e+002
1.465944e+000	-4.370502e+002
1.465916e+000	-4.352155e+002
1.465739e+000	-4.339743e+002
1.465346e+000	-4.335966e+002
1.464465e+000	-4.351615e+002
1.463286e+000	-4.379136e+002
1.462270e+000	-4.400182e+002
1.461592e+000	-4.407737e+002
1.461130e+000	-4.406658e+002
1.460683e+000	-4.405039e+002
1.460858e+000	-4.378597e+002
1.460844e+000	-4.359710e+002
1.460992e+000	-4.334347e+002
1.461018e+000	-4.313841e+002
1.460340e+000	-4.321396e+002
1.459364e+000	-4.340822e+002
1.458646e+000	-4.349996e+002
1.457616e+000	-4.371582e+002
1.456735e+000	-4.387231e+002
1.456491e+000	-4.377518e+002
1.456435e+000	-4.360249e+002
1.455920e+000	-4.361329e+002
1.455594e+000	-4.354853e+002
1.454917e+000	-4.362408e+002
1.454239e+000	-4.369963e+002
1.453737e+000	-4.370502e+002
1.453113e+000	-4.375899e+002
1.452530e+000	-4.379676e+002
1.451906e+000	-4.385073e+002
1.451540e+000	-4.380216e+002
1.451377e+000	-4.367265e+002
1.450794e+000	-4.371042e+002
1.449967e+000	-4.384533e+002
1.449519e+000	-4.382914e+002
1.448895e+000	-4.388310e+002
1.448407e+000	-4.388310e+002
1.448095e+000	-4.381295e+002
1.448040e+000	-4.364027e+002
1.447633e+000	-4.360789e+002
1.446955e+000	-4.368344e+002
1.446683e+000	-4.359710e+002
1.446804e+000	-4.335426e+002
1.445950e+000	-4.349996e+002
1.444948e+000	-4.370502e+002
1.444297e+000	-4.376978e+002
1.443497e+000	-4.389390e+002
1.442603e+000	-4.405579e+002
1.441762e+000	-4.419609e+002
1.441640e+000	-4.405039e+002
1.441503e+000	-4.391009e+002
1.441272e+000	-4.380755e+002
1.440879e+000	-4.376978e+002
1.440418e+000	-4.375899e+002
1.440457e+000	-4.354853e+002
1.441039e+000	-4.312222e+002
1.440496e+000	-4.314381e+002
1.439439e+000	-4.337045e+002
1.438193e+000	-4.367265e+002
1.437082e+000	-4.392088e+002
1.436729e+000	-4.386692e+002
1.436417e+000	-4.379676e+002
1.435752e+000	-4.386692e+002
1.435521e+000	-4.376438e+002
1.435209e+000	-4.369423e+002
1.434978e+000	-4.359170e+002
1.434937e+000	-4.341362e+002
1.434557e+000	-4.337045e+002
1.434055e+000	-4.337585e+002
1.432889e+000	-4.364566e+002
1.432185e+000	-4.373201e+002
1.431331e+000	-4.387771e+002
1.430260e+000	-4.410975e+002
1.429542e+000	-4.420149e+002
1.429568e+000	-4.399643e+002
1.429296e+000	-4.391009e+002
1.429174e+000	-4.376438e+002
1.429119e+000	-4.359170e+002
1.429307e+000	-4.332188e+002
1.428670e+000	-4.338124e+002
1.428033e+000	-4.344060e+002
1.427044e+000	-4.364027e+002
1.426203e+000	-4.378057e+002
1.425512e+000	-4.386152e+002
1.424848e+000	-4.393167e+002
1.424603e+000	-4.383454e+002
1.424480e+000	-4.368884e+002
1.424331e+000	-4.355393e+002
1.424005e+000	-4.348917e+002
1.423530e+000	-4.348377e+002
1.423015e+000	-4.349457e+002
1.422905e+000	-4.334347e+002
1.422661e+000	-4.324633e+002
1.421956e+000	-4.333268e+002
1.421089e+000	-4.348377e+002
1.420438e+000	-4.354853e+002
1.419354e+000	-4.378597e+002
1.418974e+000	-4.374280e+002
1.418607e+000	-4.369423e+002
1.417726e+000	-4.385073e+002
1.416886e+000	-4.399103e+002
1.416696e+000	-4.387231e+002
1.416708e+000	-4.367265e+002
1.416721e+000	-4.347298e+002
1.416030e+000	-4.355393e+002
1.415853e+000	-4.342981e+002
1.415568e+000	-4.334887e+002
1.414429e+000	-4.360789e+002
1.413819e+000	-4.365646e+002
1.412938e+000	-4.381295e+002
1.412139e+000	-4.393707e+002
1.411908e+000	-4.383454e+002
1.411595e+000	-4.376438e+002
1.411500e+000	-4.360789e+002
1.411567e+000	-4.338664e+002
1.411160e+000	-4.335426e+002
1.410644e+000	-4.336505e+002
1.410359e+000	-4.328411e+002
1.409153e+000	-4.357011e+002
1.407717e+000	-4.394786e+002
1.407323e+000	-4.391009e+002
1.407214e+000	-4.375899e+002
1.406577e+000	-4.381835e+002
1.405899e+000	-4.389390e+002
1.405194e+000	-4.398024e+002
1.405830e+000	-4.353234e+002
1.406113e+000	-4.322475e+002
1.405639e+000	-4.321935e+002
1.405042e+000	-4.326252e+002
1.404581e+000	-4.325173e+002
1.403673e+000	-4.341902e+002
1.402575e+000	-4.366185e+002
1.401586e+000	-4.386152e+002
1.400949e+000	-4.392088e+002
1.400623e+000	-4.385612e+002
1.400825e+000	-4.358091e+002
1.400608e+000	-4.347298e+002
1.400363e+000	-4.337585e+002
1.400064e+000	-4.330030e+002
1.399278e+000	-4.341902e+002
1.398587e+000	-4.349996e+002
1.397977e+000	-4.354853e+002
1.397786e+000	-4.342981e+002
1.397731e+000	-4.325713e+002
1.396959e+000	-4.337045e+002
1.395956e+000	-4.357551e+002
1.395251e+000	-4.366185e+002
1.394235e+000	-4.387231e+002
1.394017e+000	-4.376438e+002
1.393881e+000	-4.362408e+002
1.393189e+000	-4.370502e+002
1.392634e+000	-4.373201e+002
1.392105e+000	-4.374819e+002
1.391982e+000	-4.360249e+002
1.392089e+000	-4.336505e+002
1.391330e+000	-4.347298e+002
1.390612e+000	-4.356472e+002
1.389947e+000	-4.363487e+002
1.389635e+000	-4.356472e+002
1.389228e+000	-4.353234e+002
1.388198e+000	-4.374819e+002
1.387466e+000	-4.384533e+002
1.387113e+000	-4.379136e+002
1.386598e+000	-4.380216e+002
1.386205e+000	-4.376438e+002
1.386366e+000	-4.350536e+002
1.386623e+000	-4.320856e+002
1.386500e+000	-4.306286e+002
1.385538e+000	-4.325173e+002
1.385293e+000	-4.315460e+002
1.384859e+000	-4.313301e+002
1.383856e+000	-4.333807e+002
1.382664e+000	-4.361868e+002
1.381634e+000	-4.383454e+002
1.380455e+000	-4.410975e+002
1.380007e+000	-4.409356e+002
1.380101e+000	-4.386152e+002
1.380128e+000	-4.365646e+002
1.380249e+000	-4.341362e+002
1.380207e+000	-4.323554e+002
1.379489e+000	-4.332728e+002
1.378581e+000	-4.349457e+002
1.378025e+000	-4.352155e+002
1.377157e+000	-4.367265e+002
1.376344e+000	-4.380216e+002
1.375842e+000	-4.380755e+002
1.375286e+000	-4.383454e+002
1.374541e+000	-4.393707e+002
1.374215e+000	-4.387231e+002
1.373754e+000	-4.386152e+002
1.373699e+000	-4.368884e+002
1.373942e+000	-4.339743e+002
1.374090e+000	-4.314381e+002
1.373222e+000	-4.329490e+002
1.373072e+000	-4.315999e+002
1.372191e+000	-4.331649e+002
1.370931e+000	-4.362408e+002
1.370091e+000	-4.376438e+002
1.369413e+000	-4.383993e+002
1.368966e+000	-4.382374e+002
1.368464e+000	-4.382914e+002
1.368124e+000	-4.376978e+002
1.367690e+000	-4.374819e+002
1.367554e+000	-4.360789e+002
1.367851e+000	-4.329490e+002
1.367769e+000	-4.313301e+002
1.367078e+000	-4.321396e+002
1.366197e+000	-4.337045e+002
1.365004e+000	-4.365106e+002
1.364327e+000	-4.372661e+002
1.363229e+000	-4.396944e+002
1.362429e+000	-4.409356e+002
1.362672e+000	-4.380216e+002
1.362658e+000	-4.361329e+002
1.362400e+000	-4.352155e+002
1.362480e+000	-4.329490e+002
1.362655e+000	-4.303048e+002
1.362546e+000	-4.287938e+002
1.361841e+000	-4.296573e+002
1.360608e+000	-4.326252e+002
1.359497e+000	-4.351076e+002
1.358630e+000	-4.366185e+002
1.358182e+000	-4.364566e+002
1.357382e+000	-4.376978e+002
1.356434e+000	-4.395325e+002
1.356541e+000	-4.371582e+002
1.357028e+000	-4.332728e+002
1.356729e+000	-4.325173e+002
1.356471e+000	-4.315999e+002
1.355847e+000	-4.321396e+002
1.355088e+000	-4.332188e+002
1.354045e+000	-4.354313e+002
1.353028e+000	-4.375359e+002
1.352093e+000	-4.393167e+002
1.351591e+000	-4.393707e+002
1.350927e+000	-4.400722e+002
1.350601e+000	-4.394246e+002
