    um         	pN
1.561005e+000	-7.819309e+002
1.559162e+000	-7.873272e+002
1.557279e+000	-7.928854e+002
1.556453e+000	-7.942345e+002
1.555748e+000	-7.950979e+002
1.555097e+000	-7.957455e+002
1.555299e+000	-7.929934e+002
1.555014e+000	-7.921839e+002
1.555067e+000	-7.900254e+002
1.555202e+000	-7.875430e+002
1.555391e+000	-7.848449e+002
1.555512e+000	-7.824165e+002
1.554631e+000	-7.839815e+002
1.554278e+000	-7.834418e+002
1.552882e+000	-7.870574e+002
1.551162e+000	-7.919680e+002
1.550037e+000	-7.945044e+002
1.548655e+000	-7.980659e+002
1.548343e+000	-7.973644e+002
1.548843e+000	-7.934251e+002
1.549519e+000	-7.887842e+002
1.549302e+000	-7.877050e+002
1.549206e+000	-7.861400e+002
1.549449e+000	-7.832260e+002
1.548582e+000	-7.847369e+002
1.547728e+000	-7.861939e+002
1.547037e+000	-7.870034e+002
1.545655e+000	-7.905650e+002
1.544571e+000	-7.929394e+002
1.543500e+000	-7.952599e+002
1.543079e+000	-7.949900e+002
1.542510e+000	-7.953138e+002
1.541927e+000	-7.956916e+002
1.541953e+000	-7.936409e+002
1.541966e+000	-7.916443e+002
1.543062e+000	-7.853306e+002
1.543047e+000	-7.834418e+002
1.541869e+000	-7.861939e+002
1.541001e+000	-7.877050e+002
1.538969e+000	-7.938568e+002
1.537939e+000	-7.960153e+002
1.537546e+000	-7.956376e+002
1.537667e+000	-7.932092e+002
1.537517e+000	-7.918601e+002
1.536785e+000	-7.928315e+002
1.536920e+000	-7.903492e+002
1.536458e+000	-7.902412e+002
1.536403e+000	-7.885144e+002
1.536430e+000	-7.864638e+002
1.535616e+000	-7.877589e+002
1.535710e+000	-7.854385e+002
1.535181e+000	-7.856004e+002
1.534449e+000	-7.865717e+002
1.533717e+000	-7.875430e+002
1.532525e+000	-7.903492e+002
1.531590e+000	-7.921300e+002
1.530750e+000	-7.935330e+002
1.530871e+000	-7.911046e+002
1.531019e+000	-7.885684e+002
1.530138e+000	-7.901333e+002
1.529392e+000	-7.911586e+002
1.528417e+000	-7.931013e+002
1.528470e+000	-7.909428e+002
1.528740e+000	-7.879208e+002
1.528400e+000	-7.873272e+002
1.528400e+000	-7.853845e+002
1.528331e+000	-7.837117e+002
1.528601e+000	-7.806897e+002
1.527815e+000	-7.818769e+002
1.526677e+000	-7.844672e+002
1.525647e+000	-7.866257e+002
1.523953e+000	-7.914284e+002
1.523330e+000	-7.919680e+002
1.522449e+000	-7.935330e+002
1.521283e+000	-7.962312e+002
1.521757e+000	-7.923998e+002
1.522324e+000	-7.881906e+002
1.523285e+000	-7.824165e+002
1.523501e+000	-7.796104e+002
1.522471e+000	-7.817690e+002
1.521278e+000	-7.845751e+002
1.520086e+000	-7.873812e+002
1.519259e+000	-7.887302e+002
1.517255e+000	-7.947741e+002
1.516062e+000	-7.975803e+002
1.515777e+000	-7.967708e+002
1.515749e+000	-7.949361e+002
1.516073e+000	-7.916983e+002
1.515829e+000	-7.907269e+002
1.515977e+000	-7.881906e+002
1.515610e+000	-7.877050e+002
1.515217e+000	-7.873272e+002
1.515108e+000	-7.858162e+002
1.514118e+000	-7.878129e+002
1.513671e+000	-7.876510e+002
1.513128e+000	-7.878668e+002
1.512518e+000	-7.883525e+002
1.512152e+000	-7.878668e+002
1.510485e+000	-7.925617e+002
1.509185e+000	-7.957995e+002
1.508832e+000	-7.952599e+002
1.508750e+000	-7.936409e+002
1.508830e+000	-7.913745e+002
1.508938e+000	-7.890001e+002
1.509709e+000	-7.839815e+002
1.509207e+000	-7.840354e+002
1.508312e+000	-7.856543e+002
1.507919e+000	-7.852766e+002
1.507024e+000	-7.868955e+002
1.505886e+000	-7.894858e+002
1.504044e+000	-7.948821e+002
1.502540e+000	-7.989294e+002
1.501456e+000	-8.013037e+002
1.501428e+000	-7.994690e+002
1.502334e+000	-7.939108e+002
1.503038e+000	-7.891620e+002
1.504147e+000	-7.827943e+002
1.504579e+000	-7.791248e+002
1.504105e+000	-7.790708e+002
1.503305e+000	-7.803119e+002
1.501395e+000	-7.859781e+002
1.499661e+000	-7.909428e+002
1.498157e+000	-7.949900e+002
1.496748e+000	-7.986595e+002
1.496287e+000	-7.985516e+002
1.496259e+000	-7.967169e+002
1.497179e+000	-7.911046e+002
1.497395e+000	-7.882985e+002
1.497949e+000	-7.841434e+002
1.498490e+000	-7.800421e+002
1.497704e+000	-7.812293e+002
1.497039e+000	-7.819309e+002
1.495441e+000	-7.863559e+002
1.493937e+000	-7.904031e+002
1.492582e+000	-7.938568e+002
1.491200e+000	-7.974184e+002
1.490753e+000	-7.972565e+002
1.490968e+000	-7.944504e+002
1.492186e+000	-7.876510e+002
1.492483e+000	-7.845211e+002
1.492347e+000	-7.831181e+002
1.492468e+000	-7.806897e+002
1.491303e+000	-7.833879e+002
1.490517e+000	-7.845751e+002
1.489608e+000	-7.862480e+002
1.488227e+000	-7.898095e+002
1.487169e+000	-7.920760e+002
1.486329e+000	-7.934791e+002
1.485868e+000	-7.933711e+002
1.485542e+000	-7.927236e+002
1.485744e+000	-7.899714e+002
1.485825e+000	-7.877050e+002
1.484605e+000	-7.906190e+002
1.484198e+000	-7.902952e+002
1.483561e+000	-7.908888e+002
1.482626e+000	-7.926696e+002
1.482165e+000	-7.925617e+002
1.481785e+000	-7.921300e+002
1.482163e+000	-7.886763e+002
1.482460e+000	-7.855464e+002
1.482378e+000	-7.839275e+002
1.481714e+000	-7.846290e+002
1.480968e+000	-7.856543e+002
1.480358e+000	-7.861400e+002
1.478976e+000	-7.897016e+002
1.478488e+000	-7.897016e+002
1.477986e+000	-7.897555e+002
1.477254e+000	-7.907269e+002
1.476630e+000	-7.912666e+002
1.476305e+000	-7.906190e+002
1.476791e+000	-7.867336e+002
1.476506e+000	-7.859242e+002
1.476586e+000	-7.836577e+002
1.476410e+000	-7.824165e+002
1.475420e+000	-7.844132e+002
1.474770e+000	-7.850607e+002
1.473780e+000	-7.870574e+002
1.472656e+000	-7.895937e+002
1.471639e+000	-7.916983e+002
1.470772e+000	-7.932092e+002
1.470649e+000	-7.917522e+002
1.470079e+000	-7.920760e+002
1.470065e+000	-7.901872e+002
1.470498e+000	-7.865177e+002
1.470240e+000	-7.856004e+002
1.470293e+000	-7.834418e+002
1.469371e+000	-7.851687e+002
1.468734e+000	-7.857623e+002
1.467907e+000	-7.871114e+002
1.466620e+000	-7.902952e+002
1.466118e+000	-7.903492e+002
1.465197e+000	-7.920760e+002
1.464952e+000	-7.911046e+002
1.464802e+000	-7.897555e+002
1.464463e+000	-7.891620e+002
1.464205e+000	-7.882446e+002
1.463974e+000	-7.872193e+002
1.464406e+000	-7.835498e+002
1.464473e+000	-7.813373e+002
1.464093e+000	-7.809056e+002
1.463686e+000	-7.805818e+002
1.461857e+000	-7.859242e+002
1.460110e+000	-7.909428e+002
1.459148e+000	-7.928315e+002
1.458524e+000	-7.933711e+002
1.457792e+000	-7.943425e+002
1.457128e+000	-7.950440e+002
1.457235e+000	-7.926696e+002
1.457451e+000	-7.898635e+002
1.458168e+000	-7.850607e+002
1.458180e+000	-7.830641e+002
1.457638e+000	-7.832799e+002
1.457786e+000	-7.807436e+002
1.456675e+000	-7.832260e+002
1.455266e+000	-7.868955e+002
1.453898e+000	-7.904031e+002
1.452204e+000	-7.952058e+002
1.451188e+000	-7.973104e+002
1.450727e+000	-7.972025e+002
1.451349e+000	-7.927775e+002
1.452011e+000	-7.881906e+002
1.452511e+000	-7.842513e+002
1.453404e+000	-7.787470e+002
1.453728e+000	-7.755092e+002
1.453051e+000	-7.762647e+002
1.451425e+000	-7.807976e+002
1.449204e+000	-7.877050e+002
1.447293e+000	-7.933711e+002
1.446101e+000	-7.961772e+002
1.445247e+000	-7.976342e+002
1.444678e+000	-7.979580e+002
1.445273e+000	-7.936409e+002
1.445773e+000	-7.897016e+002
1.445921e+000	-7.871653e+002
1.446435e+000	-7.831720e+002
1.446109e+000	-7.825244e+002
1.445566e+000	-7.827403e+002
1.445146e+000	-7.824705e+002
1.443777e+000	-7.859781e+002
1.442517e+000	-7.890540e+002
1.440878e+000	-7.936409e+002
1.439659e+000	-7.965549e+002
1.438683e+000	-7.984977e+002
1.438790e+000	-7.961232e+002
1.439995e+000	-7.893778e+002
1.440603e+000	-7.850068e+002
1.441537e+000	-7.793406e+002
1.441495e+000	-7.775598e+002
1.440601e+000	-7.791787e+002
1.439869e+000	-7.801501e+002
1.438338e+000	-7.843052e+002
1.436644e+000	-7.891080e+002
1.434626e+000	-7.952058e+002
1.433596e+000	-7.973644e+002
1.433067e+000	-7.975263e+002
1.432416e+000	-7.981739e+002
1.433160e+000	-7.932632e+002
1.433742e+000	-7.890001e+002
1.434025e+000	-7.859242e+002
1.435067e+000	-7.798263e+002
1.435107e+000	-7.777217e+002
1.434307e+000	-7.789628e+002
1.432546e+000	-7.840354e+002
1.430419e+000	-7.905650e+002
1.429092e+000	-7.939108e+002
1.427886e+000	-7.967708e+002
1.427032e+000	-7.982278e+002
1.426232e+000	-7.994690e+002
1.426705e+000	-7.956376e+002
1.427611e+000	-7.900793e+002
1.428572e+000	-7.843052e+002
1.429857e+000	-7.772361e+002
1.429207e+000	-7.778836e+002
1.428597e+000	-7.783693e+002
1.428514e+000	-7.767504e+002
1.427376e+000	-7.793406e+002
1.425426e+000	-7.851687e+002
1.423326e+000	-7.915903e+002
1.422283e+000	-7.938028e+002
1.421700e+000	-7.941806e+002
1.421590e+000	-7.926696e+002
1.421860e+000	-7.896476e+002
1.421778e+000	-7.880288e+002
1.422779e+000	-7.820927e+002
1.423171e+000	-7.785851e+002
1.422656e+000	-7.786931e+002
1.421829e+000	-7.800421e+002
1.420244e+000	-7.844132e+002
1.418835e+000	-7.880827e+002
1.417209e+000	-7.926156e+002
1.416220e+000	-7.946123e+002
1.415651e+000	-7.949361e+002
1.415149e+000	-7.949900e+002
1.415473e+000	-7.917522e+002
1.415635e+000	-7.891620e+002
1.415850e+000	-7.863559e+002
1.415958e+000	-7.839815e+002
1.415497e+000	-7.838735e+002
1.415306e+000	-7.826864e+002
1.414872e+000	-7.824705e+002
1.414032e+000	-7.838735e+002
1.412420e+000	-7.883525e+002
1.411471e+000	-7.901872e+002
1.411579e+000	-7.878129e+002
1.410752e+000	-7.891620e+002
1.410033e+000	-7.900793e+002
1.409437e+000	-7.905110e+002
1.409517e+000	-7.882446e+002
1.409448e+000	-7.865717e+002
1.408486e+000	-7.884604e+002
1.408255e+000	-7.874351e+002
1.407537e+000	-7.883525e+002
1.407346e+000	-7.871653e+002
1.407305e+000	-7.853845e+002
1.406884e+000	-7.851147e+002
1.406775e+000	-7.836037e+002
1.405623e+000	-7.862480e+002
1.405081e+000	-7.864638e+002
1.404403e+000	-7.872193e+002
1.402777e+000	-7.917522e+002
1.401883e+000	-7.933711e+002
1.401192e+000	-7.941806e+002
1.401082e+000	-7.926696e+002
1.401623e+000	-7.885684e+002
1.402381e+000	-7.836037e+002
1.402894e+000	-7.796104e+002
1.402596e+000	-7.788549e+002
1.402419e+000	-7.776138e+002
1.401470e+000	-7.794486e+002
1.400102e+000	-7.829561e+002
1.398584e+000	-7.870574e+002
1.396458e+000	-7.935870e+002
1.395915e+000	-7.938028e+002
1.395752e+000	-7.925077e+002
1.396225e+000	-7.886763e+002
1.396603e+000	-7.852226e+002
1.396007e+000	-7.856543e+002
1.395952e+000	-7.839275e+002
1.395518e+000	-7.837117e+002
1.395598e+000	-7.814452e+002
1.395475e+000	-7.799882e+002
1.394256e+000	-7.829022e+002
1.393388e+000	-7.844132e+002
1.391776e+000	-7.888921e+002
1.390625e+000	-7.915363e+002
1.389825e+000	-7.927775e+002
1.389133e+000	-7.935870e+002
1.389038e+000	-7.920220e+002
1.389159e+000	-7.895937e+002
1.389700e+000	-7.854924e+002
1.390037e+000	-7.822007e+002
1.389711e+000	-7.815531e+002
1.389507e+000	-7.804199e+002
1.388735e+000	-7.815531e+002
1.388504e+000	-7.805278e+002
1.387691e+000	-7.818229e+002
1.386458e+000	-7.847909e+002
1.385604e+000	-7.862480e+002
1.384736e+000	-7.877589e+002
1.384343e+000	-7.873812e+002
1.383800e+000	-7.875970e+002
1.383949e+000	-7.850607e+002
1.384340e+000	-7.815531e+002
1.384028e+000	-7.808516e+002
1.384136e+000	-7.784772e+002
1.383715e+000	-7.782074e+002
1.382861e+000	-7.796644e+002
1.381899e+000	-7.815531e+002
1.380707e+000	-7.843592e+002
1.379257e+000	-7.881906e+002
1.377834e+000	-7.919141e+002
1.377116e+000	-7.928315e+002
1.376492e+000	-7.933711e+002
1.376464e+000	-7.915363e+002
1.377344e+000	-7.860860e+002
1.377722e+000	-7.826324e+002
1.377951e+000	-7.797723e+002
1.377652e+000	-7.790169e+002
